Symbol,Name,,,
ABTL,Autobytel Inc.,,,
ACTA,Actua Corporation,,,
AKAM,Akamai Technologies Inc.,,,
ALRM,Alarm.Com Holdings Inc.,,,
AMZN,Amazon.com Inc.,,,
ANGI,Angie's List Inc.,,,
ATHM,Autohome Inc.,,,
BCOR,Blucora Inc.,,,
BIDU,Baidu Inc.,,,
BNFT,Benefitfocus Inc.,,,
BV,Bazaarvoice Inc.,,,
CARB,Carbonite Inc.,,,
CCOI,Cogent Communications Holdings Inc.,,,
CMPR,Cimpress N.V.,,,
CRTO,Criteo SA,,,
CSGP,CoStar Group Inc.,,,
CSOD,Cornerstone OnDemand Inc.,,,
CTRP,Ctrip.com International Ltd.,,,
DHX,DHI Group Inc.,,,
DWRE,Demandware Inc.,,,
EBAY,eBay Inc.,,,
EGOV,NIC Inc.,,,
EIGI,Endurance International Group Holdings Inc.,,,
ELNK,EarthLink Holdings Corp.,,,
ENV,Envestnet Inc.,,,
EQIX,Equinix Inc.,,,
ETSY,Etsy Inc.,,,
EXPE,Expedia Inc.,,,
FB,Facebook Inc.,,,
FIVN,Five9 Inc.,,,
FLWS,1-800-Flowers.com Inc.,,,
FTD,FTD Companies Inc.,,,
GDDY,GoDaddy Inc.,,,
GOGO,Gogo Inc.,,,
GOOG,Alphabet Inc.,,,
GRPN,Groupon Inc.,,,
HDP,Hortonworks Inc.,,,
IAC,IAC/InterActiveCorp,,,
JCOM,j2 Global Inc.,,,
JD,JD.com Inc.,,,
LE,Lands' End Inc.,,,
LOGM,LogMeIn Inc.,,,
LPSN,LivePerson Inc.,,,
LTRPA,Liberty TripAdvisor Holdings Inc.,,,
MELI,Mercadolibre Inc.,,,
MIME,Mimecast Limited,,,
MKTO,Marketo Inc.,,,
MMYT,MakeMyTrip Limited,,,
MOMO,Momo Inc.,,,
MTCH,Match Group Inc.,,,
NEWR,New Relic Inc.,,,
NFLX,Netflix Inc.,,,
NILE,Blue Nile Inc.,,,
NQ,NQ Mobile Inc.,,,
NTES,NetEase Inc.,,,
NTRI,Nutrisystem Inc.,,,
OSTK,Overstock.com Inc.,,,
P,Pandora Media Inc.,,,
PCLN,The Priceline Group Inc.,,,
PETS,PetMed Express Inc.,,,
QUNR,Qunar Cayman Islands Limited,,,
RATE,Bankrate Inc.,,,
RAX,Rackspace Hosting Inc.,,,
SALE,RetailMeNot Inc.,,,
SCOR,comScore Inc.,,,
SFLY,Shutterfly Inc.,,,
SINA,SINA Corporation,,,
SOHU,Sohu.com Inc.,,,
SPSC,SPS Commerce Inc.,,,
SQI,SciQuest Inc.,,,
SSTK,Shutterstock Inc.,,,
STMP,Stamps.com Inc.,,,
TRIP,TripAdvisor Inc.,,,
TRUE,TrueCar Inc.,,,
TWTR,Twitter Inc.,,,
VNET,21Vianet Group Inc.,,,
VRSN,VeriSign Inc.,,,
WB,Weibo Corporation,,,
WBAI,500.com Limited,,,
WBMD,WebMD Health Corp.,,,
WEB,Web.com Group Inc.,,,
WIFI,Boingo Wireless Inc.,,,
WIX,Wix.com Ltd.,,,
YHOO,Yahoo! Inc.,,,
YNDX,Yandex N.V.,,,
YY,YY Inc.,,,
ZG,Zillow Group Inc.,,,
